time,x,y,theta
1700006882338904.0,0.0,0.0,0.0
1700006882379392.0,0.0,0.0,0.0
1700006882421014.0,0.0,0.0,0.0
1700006882461499.0,0.0,0.0,0.0
1700006882502107.0,0.0,0.0,0.0
1700006882542624.0,0.0,0.0,0.0
1700006882583119.0,0.0,0.0,0.0
1700006882623208.0,0.0,0.0,0.0
1700006882663693.0,0.0,0.0,0.0
1700006882704307.0,0.0,0.0,0.0
1700006882744819.0,0.0,0.0,0.0
1700006882785310.0,0.0,0.0,0.0
1700006882826650.0,0.0,0.0,0.0
1700006882867140.0,0.0,0.0,0.0
1700006882907758.0,0.0,0.0,0.0
1700006882948258.0,0.0,0.0,0.0
1700006882988764.0,0.0,0.0,0.0
1700006883029255.0,0.0,0.0,0.0
1700006883069747.0,0.0,0.0,0.0
1700006883110365.0,0.0,0.0,0.0
1700006883151833.0,0.0,0.0,0.0
1700006883192329.0,0.0,0.0,0.0
1700006883232820.0,0.0,0.0,0.0
1700006883273308.0,0.0,0.0,0.0
1700006883313911.0,0.0,0.0,0.0
1700006883354413.0,0.0,0.0,0.0
1700006883394903.0,0.0,0.0,0.0
1700006883435390.0,0.0,0.0,0.0
1700006883475878.0,0.0,0.0,0.0
1700006883516505.0,0.0,0.0,0.0
1700006883558263.0,0.0,0.0,0.0
1700006883598766.0,0.0,0.0,0.0
1700006883642480.0,0.0,0.0,0.0
1700006883682961.0,0.0,0.0,0.0
1700006883723568.0,0.0,0.0,0.0
1700006883764076.0,0.0,0.0,0.0
1700006883804556.0,0.0,0.0,0.0
1700006883845038.0,0.0,0.0,0.0
1700006883886331.0,0.0,0.0,0.0
1700006883926954.0,0.0,0.0,0.0
1700006883967466.0,0.0,0.0,0.0
1700006884007941.0,0.0,0.0,0.0
1700006884048424.0,0.0,0.0,0.0
1700006884088926.0,0.0,0.0,0.0
1700006884129534.0,0.0,0.0,0.0
1700006884170047.0,0.0,0.0,0.0
1700006884210537.0,0.0,0.0,0.0
1700006884251009.0,0.0,0.0,0.0
1700006884292360.0,0.0,0.0,0.0
1700006884332967.0,0.0,0.0,0.0
1700006884373484.0,0.0,0.0,0.0
1700006884413978.0,0.0,0.0,0.0
1700006884454464.0,0.0,0.0,0.0
1700006884494949.0,0.0,0.0,0.0
1700006884535575.0,0.0,0.0,0.0
1700006884576102.0,0.0,0.0,0.0
1700006884617567.0,0.0,0.0,0.0
1700006884656671.0,0.0,0.0,0.0
1700006884697160.0,0.0,0.0,0.0
1700006884737774.0,0.0,0.0,0.0
1700006884778296.0,0.0,0.0,0.0
1700006884818779.0,0.0,0.0,0.0
1700006884859263.0,0.0,0.0,0.0
1700006884899743.0,0.0,0.0,0.0
1700006884940355.0,0.0,0.0,0.0
1700006884980881.0,0.0,0.0,0.0
1700006885022195.0,0.0,0.0,0.0
1700006885062685.0,0.0,0.0,0.0
1700006885103167.0,0.0,0.0,0.0
1700006885143784.0,0.0,0.0,0.0
1700006885184298.0,0.0,0.0,0.0
1700006885224789.0,0.0,0.0,0.0
1700006885265267.0,0.0,0.0,0.0
1700006885305753.0,0.0,0.0,0.0
1700006885346369.0,0.0,0.0,0.0
1700006885386893.0,0.0,0.0,0.0
1700006885427587.0,0.0,0.0,0.0
1700006885468068.0,0.0,0.0,0.0
1700006885508554.0,0.0,0.0,0.0
1700006885549170.0,0.0,0.0,0.0
1700006885589680.0,0.0,0.0,0.0
1700006885630324.0,0.0,0.0,0.0
1700006885670805.0,0.0,0.0,0.0
1700006885711294.0,0.0,0.0,0.0
1700006885751912.0,0.0,0.0,0.0
1700006885792424.0,0.0,0.0,0.0
1700006885832923.0,0.0,0.0,0.0
1700006885874416.0,0.0,0.0,0.0
1700006885914908.0,0.0,0.0,0.0
1700006885955517.0,0.0,0.0,0.0
1700006885996024.0,0.0,0.0,0.0
1700006886036510.0,0.0,0.0,0.0
1700006886076992.0,0.0,0.0,0.0
1700006886117476.0,0.0,0.0,0.0
1700006886159030.0,0.0,0.0,0.0
1700006886199524.0,0.0,0.0,0.0
1700006886240004.0,0.0,0.0,0.0
1700006886280486.0,0.0,0.0,0.0
1700006886320972.0,0.0,0.0,0.0
1700006886361579.0,0.0,0.0,0.0
1700006886402086.0,0.0,0.0,0.0
1700006886442574.0,0.0,0.0,0.0
1700006886483060.0,0.0,0.0,0.0
1700006886523538.0,0.0,0.0,0.0
1700006886564146.0,0.0,0.0,0.0
1700006886605400.0,0.0,0.0,0.0
1700006886647006.0,0.0,0.0,0.0
1700006886687489.0,0.0,0.0,0.0
1700006886727969.0,0.0,0.0,0.0
1700006886768580.0,0.0,0.0,0.0
1700006886809101.0,0.0,0.0,0.0
1700006886849586.0,0.0,0.0,0.0
1700006886891263.0,0.0,0.0,0.0
1700006886931760.0,0.010733465664088726,0.0,-0.011755158193409443
1700006886972388.0,0.026946507394313812,-0.00019059563055634499,-0.020809395238757133
1700006887012910.0,0.04390621557831764,-0.000543567817658186,-0.03042132407426834
1700006887053401.0,0.06074995920062065,-0.0010561349336057901,-0.03629978001117706
1700006887093896.0,0.07842028141021729,-0.0016978455241769552,-0.04004025086760521
1700006887134396.0,0.09716662019491196,-0.0024488549679517746,-0.04378024861216545
1700006887175032.0,0.11622007191181183,-0.0032835532911121845,-0.046975232660770416
1700006887215546.0,0.13516196608543396,-0.004174008499830961,-0.05017983913421631
1700006887256046.0,0.15369199216365814,-0.005104623269289732,-0.05231697857379913
1700006887297339.0,0.17166045308113098,-0.006045537069439888,-0.05179296061396599
1700006887337847.0,0.18902230262756348,-0.006945563480257988,-0.05072459205985069
1700006887378465.0,0.20579954981803894,-0.007797312922775745,-0.04806092381477356
1700006887418984.0,0.22191396355628967,-0.008572382852435112,-0.04592479020357132
1700006887459479.0,0.237623929977417,-0.009294367395341396,-0.043787386268377304
1700006887499971.0,0.25292089581489563,-0.009964609518647194,-0.039512261748313904
1700006887540460.0,0.2673901617527008,-0.010536620393395424,-0.03630568087100983
1700006887581094.0,0.2812294363975525,-0.01103928592056036,-0.03311053290963173
1700006887622551.0,0.29451116919517517,-0.01147921197116375,-0.029456866905093193
1700006887658608.0,0.3088029623031616,-0.011900325305759907,-0.024655897170305252
1700006887699078.0,0.3210385739803314,-0.012202066369354725,-0.021447807550430298
1700006887739564.0,0.33272939920425415,-0.012452847324311733,-0.01770651340484619
1700006887780199.0,0.3439636528491974,-0.012651787139475346,-0.013978934846818447
1700006887820720.0,0.35481444001197815,-0.012803479097783566,-0.010240873321890831
1700006887861233.0,0.36500251293182373,-0.012907817959785461,-0.010774985887110233
1700006887901731.0,0.37477830052375793,-0.01301315613090992,-0.009172053076326847
1700006887942241.0,0.3841770589351654,-0.013099364936351776,-0.008103745989501476
1700006887983935.0,0.3931877911090851,-0.013172387145459652,-0.005508816335350275
1700006888024468.0,0.40170860290527344,-0.013219327665865421,0.0003635445609688759
1700006888064957.0,0.4099891483783722,-0.013216317631304264,0.004104562569409609
1700006888105454.0,0.41805997490882874,-0.013183190487325191,0.009447821415960789
1700006888145960.0,0.42583757638931274,-0.013109707273542881,0.013187266886234283
1700006888186580.0,0.43330273032188416,-0.013011257164180279,0.017448928207159042
1700006888227093.0,0.44041287899017334,-0.012887179851531982,0.02118772827088833
1700006888267594.0,0.44735825061798096,-0.012740001082420349,0.024927636608481407
1700006888309207.0,0.45399603247642517,-0.012574502266943455,0.029087599366903305
1700006888349704.0,0.4604417085647583,-0.012386959977447987,0.03175922483205795
1700006888390314.0,0.46666160225868225,-0.012189354747533798,0.03602193295955658
1700006888430845.0,0.4724773168563843,-0.01197977177798748,0.039225198328495026
1700006888471345.0,0.4781304895877838,-0.011757911182940006,0.04243091121315956
1700006888511841.0,0.4836587905883789,-0.011523199267685413,0.04510260373353958
1700006888552335.0,0.48885419964790344,-0.011288713663816452,0.04777442663908005
1700006888592954.0,0.49390870332717896,-0.011047054082155228,0.05203619226813316
1700006888635086.0,0.4985809922218323,-0.0108037069439888,0.054604142904281616
1700006888676713.0,0.503228485584259,-0.010549682192504406,0.057203248143196106
1700006888717208.0,0.5075898170471191,-0.01029992662370205,0.060943711549043655
1700006888757693.0,0.5119097232818604,-0.010036328807473183,0.0641506165266037
1700006888798323.0,0.5160064697265625,-0.009773160330951214,0.06681349873542786
1700006888838859.0,0.5199460983276367,-0.009509547613561153,0.07055017352104187
1700006888879363.0,0.5236803889274597,-0.009245656430721283,0.07268710434436798
1700006888919850.0,0.5272911190986633,-0.008982737548649311,0.07535938918590546
1700006888960343.0,0.530734658241272,-0.008722741156816483,0.0780312791466713
1700006889002000.0,0.5339603424072266,-0.008470525033771992,0.07907017320394516
1700006889042525.0,0.5345820188522339,-0.008421267382800579,0.07853621989488602
1700006889083032.0,0.5359088778495789,-0.008316846564412117,0.021911703050136566
1700006889123526.0,0.5363248586654663,-0.00830773077905178,-0.06893035769462585
1700006889164035.0,0.5359929203987122,-0.008284814655780792,-0.17790046334266663
1700006889204662.0,0.5357072353363037,-0.008233444765210152,-0.2934780716896057
1700006889245190.0,0.5353093147277832,-0.008113187737762928,-0.4109397530555725
1700006889285693.0,0.5350042581558228,-0.007980255410075188,-0.5209944844245911
1700006889326183.0,0.5346072912216187,-0.007752434816211462,-0.6241371631622314
1700006889366661.0,0.5342695116996765,-0.007509196177124977,-0.7171534299850464
1700006889408539.0,0.5339966416358948,-0.00727122463285923,-0.8024097681045532
1700006889449067.0,0.5337944030761719,-0.007061989512294531,-0.8766242265701294
1700006889489555.0,0.5336878895759583,-0.006934060715138912,-0.9418264031410217
