time,vx,vy,wz
1702623758607638.0,0.0,0.0,0.0
1702623758648789.0,0.0,0.0,0.0
1702623758688403.0,0.0,0.0,0.0
1702623758731981.0,0.0,0.0,0.0
1702623758772832.0,0.0,0.0,0.0
1702623758791161.0,0.0,0.0,0.0
1702623758813112.0,0.0,0.0,0.0
1702623758855662.0,0.0,0.0,0.0
1702623758893315.0,0.0,0.0,0.0
1702623758936748.0,0.0,0.0,0.0
1702623758972682.0,0.0,0.0,0.0
1702623759017992.0,0.0,0.0,0.0
1702623759054683.0,0.0,0.0,0.0
1702623759093811.0,0.0,0.0,0.0
1702623759135159.0,0.0,0.0,0.0
1702623759176761.0,0.0,0.0,0.0
1702623759218975.0,0.0,0.0,0.0
1702623759262980.0,0.0,0.0,0.0
1702623759297174.0,0.0,0.0,0.0
1702623759339098.0,0.0,0.0,0.0
1702623759379515.0,0.0,0.0,0.0
1702623759418678.0,0.0,0.0,0.0
1702623759462389.0,0.0,0.0,0.0
1702623759503369.0,0.0,0.0,0.0
1702623759543465.0,0.0,0.0,0.0
1702623759581782.0,0.0,0.0,0.0
1702623759622594.0,0.0,0.0,0.0
1702623759666970.0,0.0,0.0,0.0
1702623759703147.0,0.0,0.0,0.0
1702623759747200.0,0.0,0.0,0.0
1702623759789209.0,0.0,0.0,0.0
1702623759791377.0,0.0,0.0,0.0
1702623759827686.0,0.0,0.0,0.0
1702623759868387.0,0.0,0.0,0.0
1702623759912047.0,0.0,0.0,0.0
1702623759947490.0,0.0,0.0,0.0
1702623759989642.0,0.0,0.0,0.0
1702623760035258.0,0.0,0.0,0.0
1702623760070876.0,0.0,0.0,0.0
1702623760112399.0,0.0,0.0,0.0
1702623760149867.0,0.0,0.0,0.0
1702623760194711.0,0.0,0.0,0.0
1702623760232690.0,0.0,0.0,0.0
1702623760273793.0,0.0,0.0,0.0
1702623760313843.0,0.0,0.0,0.0
1702623760352889.0,0.0,0.0,0.0
1702623760396029.0,0.0,0.0,0.0
1702623760434409.0,0.0,0.0,0.0
1702623760476537.0,0.0,0.0,0.0
1702623760518536.0,0.0,0.0,0.0
1702623760559459.0,0.0,0.0,0.0
1702623760596320.0,0.0,0.0,0.0
1702623760641743.0,0.0,0.0,0.0
1702623760677470.0,0.0,0.0,0.0
1702623760719821.0,0.0,0.0,0.0
1702623760760885.0,0.0,0.0,0.0
1702623760791565.0,0.0,0.0,0.0
1702623760803659.0,0.0,0.0,0.0
1702623760838343.0,0.0,0.0,0.0
1702623760841468.0,0.20000000298023224,0.0,0.0
1702623760881755.0,0.20000000298023224,0.0,0.0
1702623760923890.0,0.20000000298023224,0.0,-0.024616291746497154
1702623760964989.0,0.20000000298023224,0.0,-0.03949955850839615
1702623761006926.0,0.20000000298023224,0.0,-0.04956319183111191
1702623761045053.0,0.20000000298023224,0.0,-0.04986540228128433
1702623761085009.0,0.20000000298023224,0.0,-0.030516095459461212
1702623761126075.0,0.20000000298023224,0.0,-0.015955165028572083
1702623761166533.0,0.20000000298023224,0.0,-0.0012885931646451354
1702623761209958.0,0.20000000298023224,0.0,0.013485070317983627
1702623761251287.0,0.20000000298023224,0.0,-0.0008912045741453767
1702623761287310.0,0.20000000298023224,0.0,0.008949910290539265
1702623761328822.0,0.20000000298023224,0.0,0.009020344354212284
1702623761371189.0,0.20000000298023224,0.0,-0.0007626573788002133
1702623761421382.0,0.20000000298023224,0.0,-0.0007626573788002133
1702623761448219.0,0.20000000298023224,0.0,-0.0008117296965792775
1702623761488733.0,0.20000000298023224,0.0,-0.020486336201429367
1702623761533406.0,0.20000000298023224,0.0,-0.040361300110816956
1702623761571766.0,0.20000000298023224,0.0,-0.05055353790521622
1702623761611514.0,0.20000000298023224,0.0,-0.06577064096927643
1702623761654934.0,0.20000000298023224,0.0,-0.07125497609376907
1702623761698101.0,0.20000000298023224,0.0,-0.07187728583812714
1702623761737182.0,0.20000000298023224,0.0,-0.057738229632377625
1702623761775293.0,0.20000000298023224,0.0,-0.05333023518323898
1702623761791827.0,0.20000000298023224,0.0,-0.05333023518323898
1702623761812987.0,0.20000000298023224,0.0,-0.048442527651786804
1702623761857667.0,0.20000000298023224,0.0,-0.04396301135420799
1702623761900890.0,0.20000000298023224,0.0,-0.024719079956412315
1702623761936445.0,0.20000000298023224,0.0,-0.02987586334347725
1702623761979092.0,0.20000000298023224,0.0,-0.03508584201335907
1702623762017364.0,0.20000000298023224,0.0,-0.04022568464279175
1702623762057790.0,0.20000000298023224,0.0,-0.04061371833086014
1702623762101189.0,0.20000000298023224,0.0,-0.06066076457500458
1702623762138921.0,0.20000000298023224,0.0,-0.07602570950984955
1702623762182220.0,0.20000000298023224,0.0,-0.07184156030416489
1702623762221910.0,0.20000000298023224,0.0,-0.067631296813488
1702623762262505.0,0.20000000298023224,0.0,-0.06830905377864838
1702623762303570.0,0.20000000298023224,0.0,-0.049356646835803986
1702623762341619.0,0.20000000298023224,0.0,-0.03016279637813568
1702623762386400.0,0.20000000298023224,0.0,-0.02062150277197361
1702623762424218.0,0.20000000298023224,0.0,-0.03045693039894104
1702623762465913.0,0.20000000298023224,0.0,-0.025849387049674988
1702623762505381.0,0.20000000298023224,0.0,-0.016299620270729065
1702623762548854.0,0.20000000298023224,0.0,-0.011554360389709473
1702623762587708.0,0.20000000298023224,0.0,-0.021527519449591637
1702623762626721.0,0.20000000298023224,0.0,-0.011905672028660774
1702623762666796.0,0.20000000298023224,0.0,-0.007108011748641729
1702623762708926.0,0.20000000298023224,0.0,-0.007187757641077042
1702623762749579.0,0.20000000298023224,0.0,0.002578483195975423
1702623762792041.0,0.20000000298023224,0.0,0.002578483195975423
1702623762793286.0,0.20000000298023224,0.0,0.0074364314787089825
1702623762832426.0,0.20000000298023224,0.0,0.012113912031054497
1702623762869538.0,0.20000000298023224,0.0,-0.0025228080339729786
1702623762910240.0,0.20000000298023224,0.0,-0.01728850044310093
1702623762955656.0,0.20000000298023224,0.0,-0.017499135807156563
1702623762997368.0,0.20000000298023224,0.0,-0.03249794617295265
1702623763033725.0,0.20000000298023224,0.0,-0.04768674820661545
1702623763077519.0,0.20000000298023224,0.0,-0.04829699173569679
1702623763115852.0,0.20000000298023224,0.0,-0.053838059306144714
1702623763154275.0,0.20000000298023224,0.0,-0.05947079882025719
1702623763197680.0,0.20000000298023224,0.0,-0.06026789918541908
1702623763236003.0,0.20000000298023224,0.0,-0.061080947518348694
1702623763276528.0,0.20000000298023224,0.0,-0.05701333284378052
1702623763318996.0,0.20000000298023224,0.0,-0.047987014055252075
1702623763358100.0,0.20000000298023224,0.0,-0.043749429285526276
1702623763401101.0,0.20000000298023224,0.0,-0.034530606120824814
1702623763440178.0,0.20000000298023224,0.0,-0.030117956921458244
1702623763484480.0,0.20000000298023224,0.0,-0.03549492731690407
1702623763523507.0,0.20000000298023224,0.0,-0.05512778088450432
1702623763562342.0,0.20000000298023224,0.0,-0.05597131326794624
1702623763611064.0,0.20000000298023224,0.0,-0.051910389214754105
1702623763642591.0,0.20000000298023224,0.0,-0.04287911206483841
1702623763683804.0,0.20000000298023224,0.0,-0.04357472062110901
1702623763723843.0,0.20000000298023224,0.0,-0.03444204106926918
1702623763764128.0,0.20000000298023224,0.0,-0.030072681605815887
1702623763792211.0,0.20000000298023224,0.0,-0.030072681605815887
1702623763804833.0,0.20000000298023224,0.0,-0.03062177449464798
1702623763844995.0,0.20000000298023224,0.0,-0.031135980039834976
1702623763887371.0,0.20000000298023224,0.0,-0.026744594797492027
1702623763925763.0,0.20000000298023224,0.0,-0.012464766390621662
1702623763966529.0,0.20000000298023224,0.0,-0.012681837193667889
1702623764006108.0,0.20000000298023224,0.0,-0.012905002571642399
1702623764049051.0,0.20000000298023224,0.0,0.006569176446646452
1702623764093013.0,0.20000000298023224,0.0,0.026402436196804047
1702623764131113.0,0.20000000298023224,0.0,0.03182371333241463
1702623764176338.0,0.20000000298023224,0.0,0.027513884007930756
1702623764215733.0,0.20000000298023224,0.0,0.028057536110281944
1702623764251363.0,0.20000000298023224,0.0,0.018776096403598785
1702623764290825.0,0.20000000298023224,0.0,-0.010387524962425232
1702623764331880.0,0.20000000298023224,0.0,-0.034677937626838684
1702623764371498.0,0.20000000298023224,0.0,-0.04034879803657532
1702623764412810.0,0.20000000298023224,0.0,-0.05110655352473259
1702623764458310.0,0.20000000298023224,0.0,-0.062105320394039154
1702623764496459.0,0.20000000298023224,0.0,-0.058645039796829224
1702623764535611.0,0.20000000298023224,0.0,-0.05020986497402191
1702623764578553.0,0.20000000298023224,0.0,-0.041615672409534454
1702623764616122.0,0.20000000298023224,0.0,-0.022958699613809586
1702623764658792.0,0.20000000298023224,0.0,-0.013706566765904427
1702623764696332.0,0.20000000298023224,0.0,0.0007144189439713955
1702623764737357.0,0.20000000298023224,0.0,0.0056464169174432755
1702623764777871.0,0.20000000298023224,0.0,-0.008482679724693298
1702623764792439.0,0.20000000298023224,0.0,-0.008482679724693298
1702623764819211.0,0.20000000298023224,0.0,-0.017923682928085327
1702623764869423.0,0.20000000298023224,0.0,-0.017923682928085327
1702623764872312.0,0.20000000298023224,0.0,-0.023374149575829506
1702623764899286.0,0.20000000298023224,0.0,-0.03393702208995819
1702623764945692.0,0.20000000298023224,0.0,-0.04482582211494446
1702623764984204.0,0.20000000298023224,0.0,-0.051167868077754974
