time,x,y,theta
1700004989252345.0,0.0,0.0,0.0
1700004989292839.0,0.0,0.0,0.0
1700004989333310.0,0.0,0.0,0.0
1700004989373793.0,0.0,0.0,0.0
1700004989414406.0,0.0,0.0,0.0
1700004989454913.0,0.0,0.0,0.0
1700004989495400.0,0.0,0.0,0.0
1700004989535881.0,0.0,0.0,0.0
1700004989576376.0,0.0,0.0,0.0
1700004989616983.0,0.0,0.0,0.0
1700004989657644.0,0.0,0.0,0.0
1700004989698137.0,0.0,0.0,0.0
1700004989738640.0,0.0,0.0,0.0
1700004989779129.0,0.0,0.0,0.0
1700004989819732.0,0.0,0.0,0.0
1700004989860235.0,0.0,0.0,0.0
1700004989900711.0,0.0,0.0,0.0
1700004989941202.0,0.0,0.0,0.0
1700004989982517.0,0.0,0.0,0.0
1700004990023120.0,0.0,0.0,0.0
1700004990063631.0,0.0,0.0,0.0
1700004990104128.0,0.0,0.0,0.0
1700004990144605.0,0.0,0.0,0.0
1700004990185088.0,0.0,0.0,0.0
1700004990225701.0,0.0,0.0,0.0
1700004990266215.0,0.0,0.0,0.0
1700004990306704.0,0.0,0.0,0.0
1700004990347193.0,0.0,0.0,0.0
1700004990388557.0,0.0,0.0,0.0
1700004990429173.0,0.0,0.0,0.0
1700004990469678.0,0.0,0.0,0.0
1700004990510159.0,0.0,0.0,0.0
1700004990550645.0,0.0,0.0,0.0
1700004990591126.0,0.0,0.0,0.0
1700004990632108.0,0.0,0.0,0.0
1700004990672615.0,0.0,0.0,0.0
1700004990714115.0,0.0,0.0,0.0
1700004990754600.0,0.0,0.0,0.0
1700004990795086.0,0.0,0.0,0.0
1700004990835702.0,0.0,0.0,0.0
1700004990876201.0,0.0,0.0,0.0
1700004990916684.0,0.0,0.0,0.0
1700004990957165.0,0.0,0.0,0.0
1700004990997659.0,0.0,0.0,0.0
1700004991038279.0,0.0,0.0,0.0
1700004991078795.0,0.0,0.0,0.0
1700004991120158.0,0.0,0.0,0.0
1700004991160662.0,0.0,0.0,0.0
1700004991201153.0,0.0,0.0,0.0
1700004991241769.0,0.0,0.0,0.0
1700004991282278.0,0.0,0.0,0.0
1700004991322765.0,0.0,0.0,0.0
1700004991363249.0,0.0,0.0,0.0
1700004991403723.0,0.0,0.0,0.0
1700004991445357.0,0.0,0.0,0.0
1700004991485872.0,0.0,0.0,0.0
1700004991526364.0,0.0,0.0,0.0
1700004991566862.0,0.0,0.0,0.0
1700004991607345.0,0.0,0.0,0.0
1700004991649433.0,0.0,0.0,0.0
1700004991689951.0,0.0,0.0,0.0
1700004991730444.0,0.0,0.0,0.0
1700004991770940.0,0.0,0.0,0.0
1700004991811428.0,0.0,0.0,0.0
1700004991852054.0,0.0,0.0,0.0
1700004991893158.0,0.0,0.0,0.0
1700004991933656.0,0.0,0.0,0.0
1700004991974141.0,0.0,0.0,0.0
1700004992014628.0,0.0,0.0,0.0
1700004992055225.0,0.0,0.0,0.0
1700004992095737.0,0.0,0.0,0.0
1700004992136217.0,0.0,0.0,0.0
1700004992176694.0,0.0,0.0,0.0
1700004992217185.0,0.0,0.0,0.0
1700004992258955.0,0.0,0.0,0.0
1700004992299455.0,0.0,0.0,0.0
1700004992339937.0,0.0,0.0,0.0
1700004992380419.0,0.0,0.0,0.0
1700004992420908.0,0.0,0.0,0.0
1700004992461524.0,0.0,0.0,0.0
1700004992502042.0,0.0,0.0,0.0
1700004992542527.0,0.0,0.0,0.0
1700004992583010.0,0.0,0.0,0.0
1700004992621976.0,0.0,0.0,0.0
1700004992663950.0,0.0,0.0,0.0
1700004992704469.0,0.0,0.0,0.0
1700004992744960.0,0.0,0.0,0.0
1700004992785450.0,0.0,0.0,0.0
1700004992825930.0,0.0,0.0,0.0
1700004992867700.0,0.0,0.0,0.0
1700004992908182.0,0.0,0.0,0.0
1700004992948654.0,0.0,0.0,0.0
1700004992989143.0,0.0,0.0,0.0
1700004993029621.0,0.0,0.0,0.0
1700004993070228.0,0.0,0.0,0.0
1700004993110726.0,0.0,0.0,0.0
1700004993151218.0,0.0,0.0,0.0
1700004993191702.0,0.0,0.0,0.0
1700004993232190.0,0.0,0.0,0.0
1700004993273775.0,0.0,0.0,0.0
1700004993314305.0,0.0,0.0,0.0
1700004993354807.0,0.0,0.0,0.0
1700004993395299.0,0.0,0.0,0.0
1700004993435786.0,0.0,0.0,0.0
1700004993476404.0,0.0,0.0,0.0
1700004993516936.0,0.0,0.0,0.0
1700004993557416.0,0.0,0.0,0.0
1700004993597894.0,0.0,0.0,0.0
1700004993639323.0,0.0,0.0,0.0
1700004993679944.0,0.0,0.0,0.0
1700004993720464.0,0.0,0.0,0.0
1700004993760960.0,0.0,0.0,0.0
1700004993801448.0,0.0,0.0,0.0
1700004993841920.0,0.0,0.0,0.0
1700004993882550.0,0.0,0.0,0.0
1700004993923072.0,0.0,0.0,0.0
1700004993963579.0,0.0,0.0,0.0
1700004994005237.0,0.0,0.0,0.0
1700004994045717.0,0.0,0.0,0.0
1700004994086335.0,0.0,0.0,0.0
1700004994126853.0,0.0,0.0,0.0
1700004994167341.0,0.0,0.0,0.0
1700004994207835.0,0.0,0.0,0.0
1700004994248326.0,0.0,0.0,0.0
1700004994288931.0,0.0,0.0,0.0
1700004994330477.0,0.0,0.0,0.0
1700004994370982.0,0.0,0.0,0.0
1700004994411473.0,0.0,0.0,0.0
1700004994451968.0,0.0,0.0,0.0
1700004994492572.0,0.0,0.0,0.0
1700004994533074.0,0.0,0.0,0.0
1700004994573567.0,0.0,0.0,0.0
1700004994614061.0,0.0,0.0,0.0
1700004994653843.0,0.0,0.0,0.0
1700004994694462.0,0.0,0.0,0.0
1700004994735827.0,0.0,0.0,0.0
1700004994776329.0,0.0,0.0,0.0
1700004994816810.0,0.0,0.0,0.0
1700004994857296.0,0.0,0.0,0.0
1700004994897894.0,0.0,0.0,0.0
1700004994938411.0,0.0,0.0,0.0
1700004994978896.0,0.0,0.0,0.0
1700004995019371.0,0.0,0.0,0.0
1700004995061007.0,0.0,0.0,0.0
1700004995101614.0,0.0,0.0,0.0
1700004995142124.0,0.0,0.0,0.0
1700004995182610.0,0.0,0.0,0.0
1700004995223094.0,0.0,0.0,0.0
1700004995263572.0,0.0,0.0,0.0
1700004995304182.0,0.0,0.0,0.0
1700004995344693.0,0.0,0.0,0.0
1700004995385184.0,0.0,0.0,0.0
1700004995425675.0,0.0,0.0,0.0
1700004995466157.0,0.0,0.0,0.0
1700004995507451.0,0.0,0.0,0.0
1700004995547966.0,0.0,0.0,0.0
1700004995588460.0,0.0,0.0,0.0
1700004995628651.0,0.0,0.0,0.0
1700004995669149.0,0.0,0.0,0.0
1700004995709747.0,0.0,0.0,0.0
1700004995750263.0,0.0,0.0,0.0
1700004995790747.0,0.0,0.0,0.0
1700004995832022.0,0.0,0.0,0.0
1700004995872506.0,0.0,0.0,0.0
1700004995913118.0,0.0,0.0,0.0
1700004995953637.0,0.0,0.0,0.0
1700004995994127.0,0.0,0.0,0.0
1700004996034622.0,0.0,0.0,0.0
1700004996075115.0,0.0,0.0,0.0
1700004996115741.0,0.0,0.0,0.0
1700004996156255.0,0.0,0.0,0.0
1700004996196746.0,0.0,0.0,0.0
1700004996238049.0,0.0,0.0,0.0
1700004996278527.0,0.0,0.0,0.0
1700004996319152.0,0.0,0.0,0.0
1700004996359656.0,0.0,0.0,0.0
1700004996400152.0,0.0,0.0,0.0
1700004996440622.0,0.0,0.0,0.0
1700004996481097.0,0.0,0.0,0.0
1700004996521697.0,0.0,0.0,0.0
1700004996563232.0,0.0,0.0,0.0
1700004996603721.0,0.0,0.0,0.0
1700004996645538.0,0.0,0.0,0.0
1700004996686029.0,0.0,0.0,0.0
1700004996726635.0,0.0,0.0,0.0
1700004996767146.0,0.0,0.0,0.0
1700004996807646.0,0.0,0.0,0.0
1700004996848125.0,0.0,0.0,0.0
1700004996888599.0,0.0,0.0,0.0
1700004996929203.0,0.0,0.0,0.0
1700004996970610.0,0.0,0.0,0.0
1700004997011102.0,0.0,0.0,0.0
1700004997051577.0,0.0,0.0,0.0
1700004997092059.0,0.0,0.0,0.0
1700004997132663.0,0.0,0.0,0.0
1700004997173168.0,0.0,0.0,0.0
1700004997213649.0,0.0,0.0,0.0
1700004997254141.0,0.0,0.0,0.0
1700004997294635.0,0.0,0.0,0.0
1700004997335995.0,0.0,0.0,0.0
1700004997376518.0,0.0,0.0,0.0
1700004997417010.0,0.0,0.0,0.0
1700004997457502.0,0.0,0.0,0.0
1700004997497977.0,0.0,0.0,0.0
1700004997538585.0,0.0,0.0,0.0
1700004997579099.0,0.0,0.0,0.0
1700004997620847.0,0.0,0.0,0.0
1700004997661337.0,0.0,0.0,0.0
1700004997701823.0,0.0,0.0,0.0
1700004997742437.0,0.0,0.0,0.0
1700004997783871.0,0.0,0.0,0.0
1700004997824358.0,0.0,0.0,0.0
1700004997864835.0,0.0,0.0,0.0
1700004997905313.0,0.0,0.0,0.0
1700004997945926.0,0.0,0.0,0.0
1700004997986445.0,0.0,0.0,0.0
1700004998026939.0,0.0,0.0,0.0
1700004998068391.0,0.0,0.0,0.0
1700004998109097.0,0.0,0.0,0.0
1700004998149698.0,0.0,0.0,0.0
1700004998190222.0,0.0,0.0,0.0
1700004998230721.0,0.0,0.0,0.0
1700004998271197.0,0.0,0.0,0.0
1700004998311719.0,0.0,0.0,0.0
1700004998352333.0,0.0,0.0,0.0
1700004998392848.0,0.0,0.0,0.0
1700004998433328.0,0.0,0.0,0.0
1700004998474787.0,0.0,0.0,0.0
1700004998515277.0,0.0,0.0,0.0
1700004998555886.0,0.0,0.0,0.0
1700004998596393.0,0.0,0.0,0.0
1700004998635471.0,0.0,0.0,0.0
1700004998675975.0,0.0,0.0,0.0
1700004998716450.0,0.0,0.0,0.0
1700004998758136.0,0.0,0.0,0.0
1700004998798656.0,0.0,0.0,0.0
1700004998839149.0,0.0,0.0,0.0
1700004998879642.0,0.0,0.0,0.0
1700004998920139.0,0.0,0.0,0.0
1700004998960753.0,0.0,0.0,0.0
1700004999001278.0,0.0,0.0,0.0
1700004999041772.0,0.0,0.0,0.0
1700004999082257.0,0.0,0.0,0.0
1700004999122726.0,0.0,0.0,0.0
1700004999164176.0,0.0,0.0,0.0
1700004999204686.0,0.0,0.0,0.0
1700004999245177.0,0.0,0.0,0.0
1700004999285658.0,0.0,0.0,0.0
1700004999326141.0,0.0,0.0,0.0
1700004999366759.0,0.0,0.0,0.0
1700004999407281.0,0.0,0.0,0.0
1700004999447773.0,0.0,0.0,0.0
1700004999489379.0,0.0,0.0,0.0
1700004999529869.0,0.0,0.0,0.0
1700004999570476.0,0.0,0.0,0.0
1700004999611002.0,0.0,0.0,0.0
1700004999650905.0,0.0,0.0,0.0
1700004999691401.0,0.0,0.0,0.0
1700004999731875.0,0.0,0.0,0.0
1700004999772486.0,0.0,0.0,0.0
1700004999813004.0,0.0,0.0,0.0
1700004999853496.0,0.0,0.0,0.0
1700004999894819.0,0.0,0.0,0.0
1700004999935303.0,0.0,0.0,0.0
1700004999975912.0,0.0,0.0,0.0
1700005000016423.0,0.0,0.0,0.0
1700005000056916.0,0.0,0.0,0.0
1700005000097383.0,0.0,0.0,0.0
1700005000137874.0,0.0,0.0,0.0
1700005000178483.0,0.0,0.0,0.0
1700005000220032.0,0.0,0.0,0.0
1700005000260532.0,0.0,0.0,0.0
1700005000301023.0,0.0,0.0,0.0
1700005000341504.0,0.0,0.0,0.0
1700005000382113.0,0.0,0.0,0.0
1700005000422622.0,0.0,0.0,0.0
1700005000463110.0,0.0,0.0,0.0
1700005000503592.0,0.0,0.0,0.0
1700005000544076.0,0.0,0.0,0.0
1700005000584702.0,0.0,0.0,0.0
1700005000626107.0,0.0,0.0,0.0
1700005000666605.0,0.0,0.0,0.0
1700005000707082.0,0.0,0.0,0.0
1700005000747558.0,0.0,0.0,0.0
1700005000788158.0,0.0,0.0,0.0
1700005000828660.0,0.0,0.0,0.0
1700005000869176.0,0.0,0.0,0.0
1700005000909655.0,0.0,0.0,0.0
1700005000951270.0,0.0,0.0,0.0
1700005000991887.0,0.0,0.0,0.0
1700005001032396.0,0.0,0.0,0.0
1700005001072877.0,0.0,0.0,0.0
1700005001113361.0,0.0,0.0,0.0
1700005001153837.0,0.0,0.0,0.0
1700005001194457.0,0.0,0.0,0.0
1700005001234981.0,0.0,0.0,0.0
1700005001275489.0,0.0,0.0,0.0
1700005001315964.0,0.0,0.0,0.0
1700005001357661.0,0.0,0.0,0.0
1700005001398254.0,0.0,0.0,0.0
1700005001438776.0,0.0,0.0,0.0
1700005001479264.0,0.0,0.0,0.0
1700005001519752.0,0.0,0.0,0.0
1700005001560247.0,0.0,0.0,0.0
1700005001600863.0,0.0,0.0,0.0
1700005001639728.0,0.0,0.0,0.0
1700005001680230.0,0.0,0.0,0.0
1700005001720712.0,0.0,0.0,0.0
1700005001761202.0,0.0,0.0,0.0
1700005001801818.0,0.0,0.0,0.0
1700005001842346.0,0.0,0.0,0.0
1700005001882834.0,0.0,0.0,0.0
1700005001923326.0,0.0,0.0,0.0
1700005001963815.0,0.0,0.0,0.0
1700005002004431.0,0.0,0.0,0.0
1700005002045774.0,0.0,0.0,0.0
1700005002086283.0,0.0,0.0,0.0
1700005002126775.0,0.0,0.0,0.0
1700005002167264.0,0.0,0.0,0.0
1700005002207879.0,0.0,0.0,0.0
1700005002248402.0,0.0,0.0,0.0
1700005002288880.0,0.0,0.0,0.0
1700005002329375.0,0.0,0.0,0.0
1700005002370942.0,0.0,0.0,0.0
1700005002411557.0,0.0,0.0,0.0
1700005002452074.0,0.0,0.0,0.0
1700005002492561.0,0.0,0.0,0.0
1700005002533044.0,0.0,0.0,0.0
1700005002573533.0,0.0,0.0,0.0
1700005002614142.0,0.0,0.0,0.0
1700005002655255.0,0.0,0.0,0.0
1700005002695740.0,0.0,0.0,0.0
1700005002736239.0,0.010566533543169498,0.0,0.00427439296618104
1700005002777609.0,0.026652630418539047,6.875872350065038e-05,0.004797438625246286
1700005002818226.0,0.043119870126247406,0.0001477598852943629,0.0042646885849535465
1700005002858736.0,0.059464290738105774,0.00021746417041867971,0.002662227489054203
1700005002899232.0,0.0771457627415657,0.0002645363856572658,0.0021278893109411
1700005002939741.0,0.09590291976928711,0.00030444961157627404,-0.0005429408047348261
1700005002980316.0,0.11458808928728104,0.0002943046565633267,-0.0026761330664157867
1700005003020903.0,0.13347521424293518,0.00024376006331294775,-0.004275551065802574
1700005003061425.0,0.15205992758274078,0.00016429969400633126,-0.0069455308839678764
1700005003101918.0,0.1700751930475235,3.917212598025799e-05,-0.008548658341169357
1700005003142428.0,0.18741726875305176,-0.00010908294643741101,-0.010151119902729988
1700005003183575.0,0.2041221261024475,-0.0002786617842502892,-0.010151119902729988
